Datetime,CH4_ppm
2/13/17 0:00,1.72793
2/13/17 0:01,1.74845
2/13/17 0:02,1.7484
2/13/17 0:03,1.75685
2/13/17 0:04,1.73705
2/13/17 0:05,1.74743
2/13/17 0:06,1.75008
2/13/17 0:07,1.74098
2/13/17 0:08,1.74982
2/13/17 0:09,1.75687
2/13/17 0:10,1.75959
2/13/17 0:11,1.76377
2/13/17 0:12,1.76344
2/13/17 0:13,1.75772
2/13/17 0:14,1.76172
2/13/17 0:15,1.75839
2/13/17 0:16,1.76503
2/13/17 0:17,1.7657
2/13/17 0:18,1.75158
2/13/17 0:19,1.75429
2/13/17 0:20,1.74634
2/13/17 0:21,1.74719
2/13/17 0:22,1.74612
2/13/17 0:23,1.75757
2/13/17 0:24,1.75472
2/13/17 0:25,1.75179
2/13/17 0:26,1.74842
2/13/17 0:27,1.74118
2/13/17 0:28,1.75241
2/13/17 0:29,1.75274
2/13/17 0:30,1.7502
2/13/17 0:31,1.7516
2/13/17 0:32,1.75813
2/13/17 0:33,1.76345
2/13/17 0:34,1.7653
2/13/17 0:35,1.76696
2/13/17 0:36,1.75739
2/13/17 0:37,1.7667
2/13/17 0:38,1.7695
2/13/17 0:39,1.75859
2/13/17 0:40,1.77235
2/13/17 0:41,1.76012
2/13/17 0:42,1.76889
2/13/17 0:43,1.77055
2/13/17 0:44,1.77521
2/13/17 0:45,1.76603
2/13/17 0:46,1.78084
2/13/17 0:47,1.78032
2/13/17 0:48,1.78158
2/13/17 0:49,1.77456
2/13/17 0:50,1.78214
2/13/17 0:51,1.77821
2/13/17 0:52,1.76246
2/13/17 0:53,1.76016
2/13/17 0:54,1.7409
2/13/17 0:55,1.75991
2/13/17 0:56,1.76336
2/13/17 0:57,1.76111
2/13/17 0:58,1.7647
2/13/17 0:59,1.7464
2/13/17 1:00,1.75595
2/13/17 1:01,1.76523
2/13/17 1:02,1.75878
2/13/17 1:03,1.75476
2/13/17 1:04,1.74339
2/13/17 1:05,1.74358
2/13/17 1:06,1.74435
2/13/17 1:07,1.74266
2/13/17 1:08,1.74945
2/13/17 1:09,1.72167
2/13/17 1:10,1.73082
2/13/17 1:11,1.73042
2/13/17 1:12,1.73859
2/13/17 1:13,1.74496
2/13/17 1:14,1.73932
2/13/17 1:15,1.73592
2/13/17 1:16,1.73986
2/13/17 1:17,1.73393
2/13/17 1:18,1.735
2/13/17 1:19,1.73427
2/13/17 1:20,1.7286
2/13/17 1:21,1.71655
2/13/17 1:22,1.72656
2/13/17 1:23,1.73732
2/13/17 1:24,1.7324
2/13/17 1:25,1.72563
2/13/17 1:26,1.71931
2/13/17 1:27,1.72741
2/13/17 1:28,1.73194
2/13/17 1:29,1.7413
2/13/17 1:30,1.7276
2/13/17 1:31,1.7491
2/13/17 1:32,1.75704
2/13/17 1:33,1.7506
2/13/17 1:34,1.74575
2/13/17 1:35,1.74316
2/13/17 1:36,1.74302
2/13/17 1:37,1.73718
2/13/17 1:38,1.74057
2/13/17 1:39,1.74522
2/13/17 1:40,1.74129
2/13/17 1:41,1.75657
2/13/17 1:42,1.73617
2/13/17 1:43,1.74721
2/13/17 1:44,1.7288
2/13/17 1:45,1.74482
2/13/17 1:46,1.74316
2/13/17 1:47,1.73731
2/13/17 1:48,1.73279
2/13/17 1:49,1.7262
2/13/17 1:50,1.73637
2/13/17 1:51,1.73997
2/13/17 1:52,1.74282
2/13/17 1:53,1.75067
2/13/17 1:54,1.75579
2/13/17 1:55,1.73067
2/13/17 1:56,1.73
2/13/17 1:57,1.73565
2/13/17 1:58,1.72422
2/13/17 1:59,1.74973
2/13/17 2:00,1.73899
2/13/17 2:01,1.73996
2/13/17 2:02,1.73425
2/13/17 2:03,1.73339
2/13/17 2:04,1.72886
2/13/17 2:05,1.71837
2/13/17 2:06,1.72801
2/13/17 2:07,1.7399
2/13/17 2:08,1.73598
2/13/17 2:09,1.74235
2/13/17 2:10,1.72109
2/13/17 2:11,1.72594
2/13/17 2:12,1.73113
2/13/17 2:13,1.7359
2/13/17 2:14,1.72553
2/13/17 2:15,1.72989
2/13/17 2:16,1.72814
2/13/17 2:17,1.72588
2/13/17 2:18,1.72763
2/13/17 2:19,1.7443
2/13/17 2:20,1.73906
2/13/17 2:21,1.73729
2/13/17 2:22,1.74467
2/13/17 2:23,1.73996
2/13/17 2:24,1.73517
2/13/17 2:25,1.73689
2/13/17 2:26,1.73206
2/13/17 2:27,1.74612
2/13/17 2:28,1.74099
2/13/17 2:29,1.74113
2/13/17 2:30,1.743
2/13/17 2:31,1.7467
2/13/17 2:32,1.74728
2/13/17 2:33,1.73716
2/13/17 2:34,1.74945
2/13/17 2:35,1.75085
2/13/17 2:36,1.76131
2/13/17 2:37,1.75497
2/13/17 2:38,1.76155
2/13/17 2:39,1.76082
2/13/17 2:40,1.76493
