3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow
4,2014-02-01,62,35,48.5,-1.3,16,0,0.00,0.0
5,2014-02-02,52,39,45.5,-4.5,19,0,0.02,0.0
6,2014-02-03,60,41,50.5,0.3,14,0,0.00,0.0
7,2014-02-04,58,35,46.5,-3.9,18,0,0.00,0.0
8,2014-02-05,56,35,45.5,-5.1,19,0,0.05,0.0
9,2014-02-06,52,44,48.0,-2.8,17,0,0.30,0.0
10,2014-02-07,52,48,50.0,-1.0,15,0,0.30,0.0
11,2014-02-08,56,51,53.5,2.3,11,0,1.28,0.0
12,2014-02-09,60,55,57.5,6.1,7,0,1.03,0.0
13,2014-02-10,63,53,58.0,6.4,7,0,0.01,0.0
14,2014-02-11,63,47,55.0,3.2,10,0,0.00,0.0
15,2014-02-12,66,47,56.5,4.5,8,0,0.00,0.0
16,2014-02-13,73,53,63.0,10.8,2,0,0.00,0.0
17,2014-02-14,68,56,62.0,9.6,3,0,0.00,0.0
18,2014-02-15,62,52,57.0,4.4,8,0,0.01,0.0
19,2014-02-16,66,48,57.0,4.2,8,0,0.00,0.0
20,2014-02-17,66,41,53.5,0.5,11,0,0.00,0.0
21,2014-02-18,67,43,55.0,1.8,10,0,0.00,0.0
22,2014-02-19,65,48,56.5,3.1,8,0,0.00,0.0
23,2014-02-20,67,44,55.5,1.9,9,0,0.00,0.0
24,2014-02-21,70,42,56.0,2.2,9,0,0.00,0.0
25,2014-02-22,72,43,57.5,3.6,7,0,0.00,0.0
26,2014-02-23,73,43,58.0,3.9,7,0,0.00,0.0
27,2014-02-24,75,44,59.5,5.2,5,0,0.00,0.0
28,2014-02-25,76,45,60.5,6.0,4,0,0.00,0.0
29,2014-02-26,64,50,57.0,2.4,8,0,0.41,0.0
30,2014-02-27,67,51,59.0,4.2,6,0,0.03,0.0
31,2014-02-28,57,53,55.0,0.1,10,0,1.05,0.0
