3,Date,MaximumTemp,MinimumTemp,AverageTemp,Departure,HDD,CDD,Precipitation,NewSnow
4,2015-05-01,94,59,76.5,12.2,0,12,0.00,0.0
5,2015-05-02,86,56,71.0,6.5,0,6,0.00,0.0
6,2015-05-03,77,52,64.5,-0.2,0,0,0.00,0.0
7,2015-05-04,76,51,63.5,-1.5,1,0,0.00,0.0
8,2015-05-05,78,52,65.0,-0.2,0,0,0.00,0.0
9,2015-05-06,80,51,65.5,0.1,0,1,0.00,0.0
10,2015-05-07,70,52,61.0,-4.6,4,0,0.19,0.0
11,2015-05-08,75,47,61.0,-4.9,4,0,0.00,0.0
12,2015-05-09,81,51,66.0,-0.1,0,1,0.00,0.0
13,2015-05-10,80,52,66.0,-0.3,0,1,0.00,0.0
14,2015-05-11,74,55,64.5,-2.0,0,0,0.00,0.0
15,2015-05-12,74,50,62.0,-4.7,3,0,0.00,0.0
16,2015-05-13,70,51,60.5,-6.4,4,0,0.00,0.0
17,2015-05-14,74,49,61.5,-5.6,3,0,0.00,0.0
18,2015-05-15,73,50,61.5,-5.8,3,0,0.00,0.0
19,2015-05-16,79,50,64.5,-3.0,0,0,0.00,0.0
20,2015-05-17,73,53,63.0,-4.7,2,0,0.00,0.0
21,2015-05-18,74,53,63.5,-4.4,1,0,0.00,0.0
22,2015-05-19,78,53,65.5,-2.6,0,1,0.00,0.0
23,2015-05-20,76,52,64.0,-4.2,1,0,0.00,0.0
24,2015-05-21,75,54,64.5,-3.9,0,0,0.00,0.0
25,2015-05-22,77,55,66.0,-2.6,0,1,0.00,0.0
26,2015-05-23,79,55,67.0,-1.8,0,2,0.00,0.0
27,2015-05-24,83,54,68.5,-0.5,0,4,0.00,0.0
28,2015-05-25,80,54,67.0,-2.2,0,2,0.00,0.0
29,2015-05-26,80,54,67.0,-2.3,0,2,0.00,0.0
30,2015-05-27,83,54,68.5,-1.0,0,4,0.00,0.0
31,2015-05-28,88,53,70.5,0.8,0,6,0.00,0.0
32,2015-05-29,90,53,71.5,1.6,0,7,0.00,0.0
33,2015-05-30,93,55,74.0,3.9,0,9,0.00,0.0
34,2015-05-31,80,54,67.0,-3.2,0,2,0.00,0.0
