3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2016-09-01,90,60,75.0,-0.2,0,10,0.00,0.0,0
5,2016-09-02,93,59,76.0,0.9,0,11,0.00,0.0,0
6,2016-09-03,85,60,72.5,-2.5,0,8,0.00,0.0,0
7,2016-09-04,83,55,69.0,-5.9,0,4,0.00,0.0,0
8,2016-09-05,91,56,73.5,-1.3,0,9,0.00,0.0,0
9,2016-09-06,95,59,77.0,2.3,0,12,0.00,0.0,0
10,2016-09-07,98,60,79.0,4.4,0,14,0.00,0.0,0
11,2016-09-08,92,63,77.5,3.0,0,13,0.00,0.0,0
12,2016-09-09,97,58,77.5,3.1,0,13,0.00,0.0,0
13,2016-09-10,94,58,76.0,1.8,0,11,0.00,0.0,0
14,2016-09-11,81,57,69.0,-5.1,0,4,0.00,0.0,0
15,2016-09-12,78,55,66.5,-7.4,0,2,0.00,0.0,0
16,2016-09-13,77,53,65.0,-8.8,0,0,0.00,0.0,0
17,2016-09-14,84,54,69.0,-4.6,0,4,0.00,0.0,0
18,2016-09-15,90,56,73.0,-0.5,0,8,0.00,0.0,0
19,2016-09-16,93,56,74.5,1.2,0,10,0.00,0.0,0
20,2016-09-17,98,59,78.5,5.4,0,14,0.00,0.0,0
21,2016-09-18,100,62,81.0,8.1,0,16,0.00,0.0,0
22,2016-09-19,102,64,83.0,10.3,0,18,0.00,0.0,0
23,2016-09-20,92,64,78.0,5.4,0,13,0.00,0.0,0
24,2016-09-21,84,57,70.5,-1.9,0,6,0.00,0.0,0
25,2016-09-22,77,51,64.0,-8.1,1,0,0.00,0.0,0
26,2016-09-23,84,52,68.0,-3.9,0,3,0.00,0.0,0
27,2016-09-24,91,56,73.5,1.8,0,9,0.00,0.0,0
28,2016-09-25,96,57,76.5,5.0,0,12,0.00,0.0,0
29,2016-09-26,99,61,80.0,8.7,0,15,0.00,0.0,0
30,2016-09-27,100,61,80.5,9.5,0,16,0.00,0.0,0
31,2016-09-28,96,62,79.0,8.2,0,14,0.00,0.0,0
32,2016-09-29,88,56,72.0,1.5,0,7,0.00,0.0,0
33,2016-09-30,77,53,65.0,-5.3,0,0,0.00,0.0,0
