3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2017-02-01,56,43,49.5,-0.3,15,0,0.00
5,2017-02-02,64,48,56.0,6.0,9,0,0.19
6,2017-02-03,63,54,58.5,8.3,6,0,1.04
7,2017-02-04,65,51,58.0,7.6,7,0,0.00
8,2017-02-05,61,48,54.5,3.9,10,0,0.31
9,2017-02-06,61,54,57.5,6.7,7,0,1.15
10,2017-02-07,64,53,58.5,7.5,6,0,0.87
11,2017-02-08,63,58,60.5,9.3,4,0,0.39
12,2017-02-09,61,56,58.5,7.1,6,0,1.06
13,2017-02-10,65,52,58.5,6.9,6,0,0.08
14,2017-02-11,63,49,56.0,4.2,9,0,0.00
15,2017-02-12,66,42,54.0,2.0,11,0,0.00
16,2017-02-13,64,44,54.0,1.8,11,0,0.00
17,2017-02-14,69,45,57.0,4.6,8,0,0.00
18,2017-02-15,65,49,57.0,4.4,8,0,0.00
19,2017-02-16,67,53,60.0,7.2,5,0,0.27
20,2017-02-17,60,52,56.0,3.0,9,0,0.72
21,2017-02-18,62,48,55.0,1.8,10,0,0.08
22,2017-02-19,56,47,51.5,-1.9,13,0,0.19
23,2017-02-20,57,52,54.5,0.9,10,0,1.69
24,2017-02-21,62,51,56.5,2.7,8,0,0.14
25,2017-02-22,59,42,50.5,-3.4,14,0,0.00
26,2017-02-23,54,36,45.0,-9.1,20,0,0.00
27,2017-02-24,56,35,45.5,-8.8,19,0,0.00
28,2017-02-25,56,40,48.0,-6.5,17,0,0.00
29,2017-02-26,60,36,48.0,-6.6,17,0,0.00
30,2017-02-27,58,41,49.5,-5.3,15,0,0.00
31,2017-02-28,60,36,48.0,-6.9,17,0,0.00
