3,Date,MaximumTemp,MinimumTemp,AverageTemp,Departure,HDD,CDD,Precipitation
4,2017-10-01,81,59,70.0,0.0,0,5,0.00
5,2017-10-02,79,54,66.5,-3.2,0,2,0.00
6,2017-10-03,80,47,63.5,-6.0,1,0,0.00
7,2017-10-04,81,50,65.5,-3.7,0,1,0.00
8,2017-10-05,83,49,66.0,-2.9,0,1,0.00
9,2017-10-06,86,50,68.0,-0.6,0,3,0.00
10,2017-10-07,87,53,70.0,1.7,0,5,0.00
11,2017-10-08,80,55,67.5,-0.5,0,3,0.00
12,2017-10-09,83,58,70.5,2.8,0,6,0.00
13,2017-10-10,85,52,68.5,1.1,0,4,0.00
14,2017-10-11,75,54,64.5,-2.6,0,0,0.00
15,2017-10-12,75,48,61.5,-5.3,3,0,0.00
16,2017-10-13,77,44,60.5,-6.0,4,0,0.00
17,2017-10-14,77,54,65.5,-0.7,0,1,0.00
18,2017-10-15,82,46,64.0,-1.8,1,0,0.00
19,2017-10-16,85,49,67.0,1.5,0,2,0.00
20,2017-10-17,82,51,66.5,1.3,0,2,0.00
21,2017-10-18,83,48,65.5,0.7,0,1,0.00
22,2017-10-19,73,51,62.0,-2.5,3,0,0.07
23,2017-10-20,65,50,57.5,-6.6,7,0,0.07
24,2017-10-21,71,45,58.0,-5.8,7,0,0.00
25,2017-10-22,75,47,61.0,-2.4,4,0,0.00
26,2017-10-23,83,54,68.5,5.4,0,4,0.00
27,2017-10-24,87,55,71.0,8.3,0,6,0.00
28,2017-10-25,87,56,71.5,9.1,0,7,0.00
29,2017-10-26,87,55,71.0,9.0,0,6,0.00
30,2017-10-27,86,55,70.5,8.9,0,6,0.00
31,2017-10-28,86,53,69.5,8.2,0,5,0.00
32,2017-10-29,84,53,68.5,7.6,0,4,0.00
33,2017-10-30,70,51,60.5,0.0,4,0,0.00
34,2017-10-31,70,47,58.5,-1.7,6,0,0.00
