3,Date,MaximumTemp,MinimumTemp,AverageTemp,Departure,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-08-01,96,62,79.0,1.8,0,14,0.00,0.0,0
5,2018-08-02,94,60,77.0,-0.2,0,12,0.00,0.0,0
6,2018-08-03,97,59,78.0,0.9,0,13,0.00,0.0,0
7,2018-08-04,100,64,82.0,4.9,0,17,0.00,0.0,0
8,2018-08-05,94,62,78.0,1.0,0,13,0.00,0.0,0
9,2018-08-06,96,63,79.5,2.5,0,15,0.00,0.0,0
10,2018-08-07,93,65,79.0,2.1,0,14,0.00,0.0,0
11,2018-08-08,96,60,78.0,1.1,0,13,0.00,0.0,0
12,2018-08-09,103,62,82.5,5.7,0,18,0.00,0.0,0
13,2018-08-10,103,67,85.0,8.3,0,20,0.00,0.0,0
14,2018-08-11,99,67,83.0,6.3,0,18,0.00,0.0,0
15,2018-08-12,98,67,82.5,5.9,0,18,0.00,0.0,0
16,2018-08-13,94,61,77.5,0.9,0,13,0.00,0.0,0
17,2018-08-14,89,59,74.0,-2.5,0,9,0.00,0.0,0
18,2018-08-15,89,59,74.0,-2.4,0,9,0.00,0.0,0
19,2018-08-16,95,61,78.0,1.6,0,13,0.00,0.0,0
20,2018-08-17,101,62,81.5,5.2,0,17,0.00,0.0,0
21,2018-08-18,103,65,84.0,7.7,0,19,0.00,0.0,0
22,2018-08-19,100,63,81.5,5.3,0,17,0.00,0.0,0
23,2018-08-20,92,60,76.0,-0.1,0,11,0.00,0.0,0
24,2018-08-21,79,56,67.5,-8.6,0,3,0.00,0.0,0
25,2018-08-22,88,57,72.5,-3.5,0,8,0.00,0.0,0
26,2018-08-23,83,58,70.5,-5.4,0,6,0.00,0.0,0
27,2018-08-24,83,57,70.0,-5.9,0,5,0.00,0.0,0
28,2018-08-25,90,56,73.0,-2.8,0,8,0.00,0.0,0
29,2018-08-26,88,56,72.0,-3.7,0,7,0.00,0.0,0
30,2018-08-27,83,57,70.0,-5.6,0,5,0.00,0.0,0
31,2018-08-28,79,59,69.0,-6.6,0,4,0.00,0.0,0
32,2018-08-29,84,57,70.5,-5.0,0,6,0.00,0.0,0
33,2018-08-30,80,57,68.5,-6.9,0,4,0.00,0.0,0
34,2018-08-31,90,57,73.5,-1.8,0,9,0.00,0.0,0
