Date,axiuTep,iniuTep,AverageTep,Departure,HDD,CDD,Precipitation,NewSnow,DepartureTep,SnowDepth,Electricity(GWh)/Non-Residential,Electricity(GWh)/Residential,Gas(Thers)/Non-Residential,Gas(Thers)/Residential,edian_Incoe(dollars),Population,Wind,Solar,Sall hydro,Geotheral,Bioass,Large hydro,Coal,Nuclear,Natural gas,Unspecified
41640,65,35,50,3.7,15,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41641,66,37,51.5,5.1,13,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41642,66,38,52,5.6,13,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41643,65,37,51,4.6,14,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41644,65,36,50.5,4,14,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41645,61,37,49,2.5,16,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41646,65,40,52.5,5.9,12,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41647,57,38,47.5,0.9,17,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41648,62,42,52,5.3,13,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41649,62,39,50.5,3.7,14,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41650,58,44,51,4.2,14,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41651,60,39,49.5,2.6,15,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41652,64,37,50.5,3.5,14,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41653,66,35,50.5,3.4,14,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41654,69,38,53.5,6.3,11,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41655,71,36,53.5,6.2,11,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41656,69,36,52.5,5.1,12,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41657,70,35,52.5,4.9,12,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41658,69,35,52,4.3,13,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41659,71,36,53.5,5.7,11,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41660,68,35,51.5,3.6,13,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41661,68,35,51.5,3.4,13,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41662,71,38,54.5,6.3,10,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41663,79,44,61.5,13.1,3,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41664,74,42,58,9.4,7,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41665,65,41,53,4.3,12,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41666,65,39,52,3.1,13,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41667,70,50,60,10.9,5,0,0,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41668,64,51,57.5,8.3,7,0,0.07,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41669,65,49,57,7.6,8,0,0.11,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41670,60,42,51,1.4,14,0,0.02,0,,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41671,62,35,48.5,,16,0,0,0,-1.3,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41672,52,39,45.5,,19,0,0.02,0,-4.5,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41673,60,41,50.5,,14,0,0,0,0.3,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41674,58,35,46.5,,18,0,0,0,-3.9,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41675,56,35,45.5,,19,0,0.05,0,-5.1,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41676,52,44,48,,17,0,0.3,0,-2.8,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41677,52,48,50,,15,0,0.3,0,-1,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41678,56,51,53.5,,11,0,1.28,0,2.3,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41679,60,55,57.5,,7,0,1.03,0,6.1,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41680,63,53,58,,7,0,0.01,0,6.4,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41681,63,47,55,,10,0,0,0,3.2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41682,66,47,56.5,,8,0,0,0,4.5,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41683,73,53,63,,2,0,0,0,10.8,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41684,68,56,62,,3,0,0,0,9.6,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41685,62,52,57,,8,0,0.01,0,4.4,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41686,66,48,57,,8,0,0,0,4.2,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
41687,66,41,53.5,,11,0,0,0,0.5,,6258.537182,4736.128873,100.810185,172.911259,62203,485199,0.081,0.042,0.009,0.044,0.025,0.055,0.064,0.085,0.445,0.15
