Date,MaximumTemp,MinimumTemp,AverageTemp,Departure,HDD,CDD,Precipitation,NewSnow,DepartureTemp,SnowDepth,Ozone,CO
2014-01-01,65,35,50.0,3.7,15,0,0.0,0.0,,,0.026000000000000002,1.0
2014-01-02,66,37,51.5,5.1,13,0,0.0,0.0,,,0.021,1.246
2014-01-03,66,38,52.0,5.6,13,0,0.0,0.0,,,0.019,1.162
2014-01-04,65,37,51.0,4.6,14,0,0.0,0.0,,,0.023,1.05
2014-01-05,65,36,50.5,4.0,14,0,0.0,0.0,,,0.028999999999999998,0.983
2014-01-06,61,37,49.0,2.5,16,0,0.0,0.0,,,0.017,1.012
2014-01-07,65,40,52.5,5.9,12,0,0.0,0.0,,,0.02,0.8170000000000001
2014-01-08,57,38,47.5,0.9,17,0,0.0,0.0,,,0.019,0.5920000000000001
2014-01-09,62,42,52.0,5.3,13,0,0.0,0.0,,,0.024,0.5710000000000001
2014-01-10,62,39,50.5,3.7,14,0,0.0,0.0,,,0.017,0.9540000000000001
2014-01-11,58,44,51.0,4.2,14,0,0.0,0.0,,,0.025,0.5
2014-01-12,60,39,49.5,2.6,15,0,0.0,0.0,,,0.024,0.45399999999999996
2014-01-13,64,37,50.5,3.5,14,0,0.0,0.0,,,0.023,1.0290000000000001
2014-01-14,66,35,50.5,3.4,14,0,0.0,0.0,,,0.022000000000000002,1.3330000000000002
2014-01-15,69,38,53.5,6.3,11,0,0.0,0.0,,,0.022000000000000002,1.304
2014-01-16,71,36,53.5,6.2,11,0,0.0,0.0,,,0.024,1.4369999999999998
2014-01-17,69,36,52.5,5.1,12,0,0.0,0.0,,,0.027000000000000003,1.396
2014-01-18,70,35,52.5,4.9,12,0,0.0,0.0,,,0.027999999999999997,1.296
2014-01-19,69,35,52.0,4.3,13,0,0.0,0.0,,,0.028999999999999998,1.125
2014-01-20,71,36,53.5,5.7,11,0,0.0,0.0,,,0.025,1.187
2014-01-21,68,35,51.5,3.6,13,0,0.0,0.0,,,0.024,1.125
2014-01-22,68,35,51.5,3.4,13,0,0.0,0.0,,,0.028999999999999998,0.867
2014-01-23,71,38,54.5,6.3,10,0,0.0,0.0,,,0.03,1.054
2014-01-24,79,44,61.5,13.1,3,0,0.0,0.0,,,0.028999999999999998,1.113
2014-01-25,74,42,58.0,9.4,7,0,0.0,0.0,,,0.03,0.821
2014-01-26,65,41,53.0,4.3,12,0,0.0,0.0,,,0.027999999999999997,0.813
2014-01-27,65,39,52.0,3.1,13,0,0.0,0.0,,,0.024,1.063
2014-01-28,70,50,60.0,10.9,5,0,0.0,0.0,,,0.023,0.779
2014-01-29,64,51,57.5,8.3,7,0,0.07,0.0,,,0.013999999999999999,0.504
2014-01-30,65,49,57.0,7.6,8,0,0.11,0.0,,,0.023,0.635
2014-01-31,60,42,51.0,1.4,14,0,0.02,0.0,,,0.027000000000000003,0.7959999999999999
2014-02-01,62,35,48.5,,16,0,0.0,0.0,-1.3,,0.024,0.57
2014-02-02,52,39,45.5,,19,0,0.02,0.0,-4.5,,0.027000000000000003,0.408
2014-02-03,60,41,50.5,,14,0,0.0,0.0,0.3,,0.026000000000000002,0.635
2014-02-04,58,35,46.5,,18,0,0.0,0.0,-3.9,,0.024,0.708
2014-02-05,56,35,45.5,,19,0,0.05,0.0,-5.1,,0.024,0.409
2014-02-06,52,44,48.0,,17,0,0.3,0.0,-2.8,,0.032,0.257
2014-02-07,52,48,50.0,,15,0,0.3,0.0,-1.0,,0.032,0.313
2014-02-08,56,51,53.5,,11,0,1.28,0.0,2.3,,0.034,0.317
2014-02-09,60,55,57.5,,7,0,1.03,0.0,6.1,,0.027000000000000003,0.317
2014-02-10,63,53,58.0,,7,0,0.01,0.0,6.4,,0.022000000000000002,0.6579999999999999
2014-02-11,63,47,55.0,,10,0,0.0,0.0,3.2,,0.013000000000000001,0.713
2014-02-12,66,47,56.5,,8,0,0.0,0.0,4.5,,0.021,0.521
2014-02-13,73,53,63.0,,2,0,0.0,0.0,10.8,,0.02,0.57
2014-02-14,68,56,62.0,,3,0,0.0,0.0,9.6,,0.018000000000000002,0.375
2014-02-15,62,52,57.0,,8,0,0.01,0.0,4.4,,0.018000000000000002,0.37
2014-02-16,66,48,57.0,,8,0,0.0,0.0,4.2,,0.03,0.43799999999999994
2014-02-17,66,41,53.5,,11,0,0.0,0.0,0.5,,0.022000000000000002,0.7390000000000001
2014-02-18,67,43,55.0,,10,0,0.0,0.0,1.8,,0.019,0.614
2014-02-19,65,48,56.5,,8,0,0.0,0.0,3.1,,0.03,0.452
2014-02-20,67,44,55.5,,9,0,0.0,0.0,1.9,,0.024,0.579
2014-02-21,70,42,56.0,,9,0,0.0,0.0,2.2,,0.026000000000000002,0.909
2014-02-22,72,43,57.5,,7,0,0.0,0.0,3.6,,0.028999999999999998,0.917
2014-02-23,73,43,58.0,,7,0,0.0,0.0,3.9,,0.03,0.648
2014-02-24,75,44,59.5,,5,0,0.0,0.0,5.2,,0.031,0.754
2014-02-25,76,45,60.5,,4,0,0.0,0.0,6.0,,0.035,0.648
2014-02-26,64,50,57.0,,8,0,0.41,0.0,2.4,,0.032,0.354
2014-02-27,67,51,59.0,,6,0,0.03,0.0,4.2,,0.033,0.387
